alias_name,comment_number,country_region,cover,director,imdb,language,length,rate,release_date,release_year,scenarist,starring,title,type
,1511, 美国,"蝙蝠侠：漫长的万圣节(上) Batman: The Long Halloween, Part 1",克里斯・帕尔默, tt14324650, 英语,"<span property=""v:runtime"" content=""85"">85分钟</span>",7.3,"<span property=""v:initialReleaseDate"" content=""2021-06-22(美国)"">2021-06-22(美国)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1123065/"">杰夫・洛布</a> / <a href=""/celebrity/1409324/"">蒂姆・谢里丹</a></span>","<span class=""attrs""><a href=""/celebrity/1047999/"" rel=""v:starring"">詹森・阿克斯</a> / <a href=""/celebrity/1197479/"" rel=""v:starring"">特罗伊・贝克</a> / <a href=""/celebrity/1337583/"" rel=""v:starring"">大卫・达斯马齐连</a> / <a href=""/celebrity/1321661/"" rel=""v:starring"">杰克・奎德</a> / <a href=""/celebrity/1016666/"" rel=""v:starring"">乔什・杜哈明</a> / <a href=""/celebrity/1165630/"" rel=""v:starring"">提图斯・维里沃</a> / <a href=""/celebrity/1146116/"" rel=""v:starring"">娜雅・里维拉</a> / <a href=""/celebrity/1027383/"" rel=""v:starring"">艾米・兰德克</a> / <a href=""/celebrity/1036324/"" rel=""v:starring"">比利・伯克</a> / <a href=""/celebrity/1320585/"" rel=""v:starring"">弗雷德・塔特西奥</a> / <a href=""/subject_search?search_text=Alastair%20Duncan"" rel=""v:starring"">Alastair Duncan</a> / <a href=""/celebrity/1314311/"" rel=""v:starring"">吉姆・皮里</a> / <a href=""/celebrity/1292938/"" rel=""v:starring"">朱莉・内桑森</a> / <a href=""/celebrity/1094342/"" rel=""v:starring"">Gary LeRoi Gray</a> / <a href=""/celebrity/1177439/"" rel=""v:starring"">Greg Chun</a> / <a href=""/celebrity/1170586/"" rel=""v:starring"">弗兰西丝・卡利耶</a></span>","蝙蝠侠：漫长的万圣节(上) Batman: The Long Halloween, Part 1",动作
 情场现形记 / 笋盘大骗局(港) / 一婊人才(台),415, 美国,看着不错 Good on Paper,金米・盖特伍德, tt8231668, 英语,"<span class=""pl"">又名:</span>",5.8,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1362726/"">埃莱扎・施莱辛格</a></span>","<span class=""attrs""><a href=""/celebrity/1362726/"" rel=""v:starring"">埃莱扎・施莱辛格</a> / <a href=""/celebrity/1346453/"" rel=""v:starring"">瑞贝卡・瑞滕豪斯</a> / <a href=""/celebrity/1218153/"" rel=""v:starring"">贝丝・杜瓦</a> / <a href=""/celebrity/1333379/"" rel=""v:starring"">马特・麦高瑞</a> / <a href=""/celebrity/1036518/"" rel=""v:starring"">赵牡丹</a> / <a href=""/celebrity/1354901/"" rel=""v:starring"">泰勒・希尔</a> / <a href=""/celebrity/1377965/"" rel=""v:starring"">布兰妮・扬</a> / <a href=""/celebrity/1390295/"" rel=""v:starring"">季米亚・贝珀妮雅</a> / <a href=""/celebrity/1377967/"" rel=""v:starring"">瑞贝卡・约翰逊</a> / <a href=""/subject_search?search_text=Tess%20Paras"" rel=""v:starring"">Tess Paras</a> / <a href=""/celebrity/1402106/"" rel=""v:starring"">丽贝卡・德尔加多・史密斯</a> / <a href=""/subject_search?search_text=Tony%20Rodriguez"" rel=""v:starring"">Tony Rodriguez</a> / <a href=""/subject_search?search_text=Patrick%20Daniel"" rel=""v:starring"">Patrick Daniel</a> / <a href=""/subject_search?search_text=Tyler%20Cameron"" rel=""v:starring"">Tyler Cameron</a> / <a href=""/subject_search?search_text=Mav%20Viola"" rel=""v:starring"">Mav Viola</a></span>",看着不错 Good on Paper,喜剧
 极速引爆(台) / 通话限制 / 发信限制 / Hard Hit,774, 韩国,限制来电 ????,金昌洙, tt14980972, 韩语,"<span class=""pl"">又名:</span>",5.6,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1353641/"" rel=""v:starring"">赵宇镇</a> / <a href=""/celebrity/1394288/"" rel=""v:starring"">李在仁</a> / <a href=""/celebrity/1315170/"" rel=""v:starring"">池昌旭</a> / <a href=""/celebrity/1336400/"" rel=""v:starring"">陈庆</a> / <a href=""/celebrity/1332700/"" rel=""v:starring"">金芝荷</a></span>",,限制来电 ????,剧情
 窕赀(港) / 怪奇公寓 / Strange Mansion / Ghost Mansion,6394, 韩国,怪奇宅 ????,赵巴伦, tt14895216, 韩语,"<span class=""pl"">又名:</span>",6.9,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1314767/"" rel=""v:starring"">盛骏</a> / <a href=""/celebrity/1353736/"" rel=""v:starring"">金弘波</a> / <a href=""/celebrity/1325209/"" rel=""v:starring"">金宝罗</a> / <a href=""/celebrity/1339671/"" rel=""v:starring"">金在华</a> / <a href=""/celebrity/1349003/"" rel=""v:starring"">朴素珍</a> / <a href=""/celebrity/1379938/"" rel=""v:starring"">徐贤宇</a></span>",,怪奇宅 ????,惊悚
 The Perfect Victim,3833, 中国大陆,完美受害人,杨泷杰, tt14766862, 汉语普通话,"<span property=""v:runtime"" content=""101"">101分钟</span>",5.7,"<span property=""v:initialReleaseDate"" content=""2021-06-25(中国大陆)"">2021-06-25(中国大陆)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1458048/"">付梦然</a> / <a href=""/celebrity/1457837/"">杨泷杰</a></span>","<span class=""attrs""><a href=""/celebrity/1274530/"" rel=""v:starring"">李乃文</a> / <a href=""/celebrity/1325753/"" rel=""v:starring"">冯文娟</a> / <a href=""/celebrity/1002998/"" rel=""v:starring"">张峻宁</a> / <a href=""/celebrity/1275687/"" rel=""v:starring"">谭凯</a> / <a href=""/celebrity/1316038/"" rel=""v:starring"">姬他</a> / <a href=""/celebrity/1399147/"" rel=""v:starring"">芦展翔</a> / <a href=""/celebrity/1275536/"" rel=""v:starring"">赵子琪</a> / <a href=""/celebrity/1403909/"" rel=""v:starring"">郭阳</a> / <a href=""/celebrity/1348746/"" rel=""v:starring"">郭亮</a> / <a href=""/celebrity/1326738/"" rel=""v:starring"">刘凡菲</a> / <a href=""/celebrity/1276088/"" rel=""v:starring"">张垒</a> / <a href=""/celebrity/1325166/"" rel=""v:starring"">冯国强</a> / <a href=""/celebrity/1356459/"" rel=""v:starring"">赵彦乔</a></span>",完美受害人,剧情
 L相剖(港),2093, 美国,至死不渝 Till Death,S.K.戴尔, tt11804152, 英语,"<span class=""pl"">又名:</span>",5.6,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1453769/"">杰森・卡维尔</a></span>","<span class=""attrs""><a href=""/celebrity/1044700/"" rel=""v:starring"">梅根・福克斯</a> / <a href=""/celebrity/1313436/"" rel=""v:starring"">欧文・马肯</a> / <a href=""/celebrity/1126747/"" rel=""v:starring"">卡兰・马尔韦</a> / <a href=""/celebrity/1337581/"" rel=""v:starring"">杰克・罗思</a> / <a href=""/celebrity/1194285/"" rel=""v:starring"">阿梅尔・艾米恩</a> / <a href=""/subject_search?search_text=Stefanie%20Rozhko"" rel=""v:starring"">Stefanie Rozhko</a> / <a href=""/subject_search?search_text=Julian%20Balahurov"" rel=""v:starring"">Julian Balahurov</a> / <a href=""/subject_search?search_text=Lili%20Rich"" rel=""v:starring"">Lili Rich</a> / <a href=""/subject_search?search_text=Teodora%20Djuric"" rel=""v:starring"">Teodora Djuric</a></span>",至死不渝 Till Death,惊悚
 极地冰劫(港) / 疾冻救援(台) / Red Ice,6670, 美国,冰路营救 The Ice Road,乔纳森・汉斯雷, tt3758814, 英语,"<span class=""pl"">片长:</span>",6.3,"<span class=""pl"">上映日期:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1286460/"">乔纳森・汉斯雷</a></span>","<span class=""attrs""><a href=""/celebrity/1031220/"" rel=""v:starring"">连姆・尼森</a> / <a href=""/celebrity/1327390/"" rel=""v:starring"">马库斯・托马斯</a> / <a href=""/celebrity/1022596/"" rel=""v:starring"">劳伦斯・菲什伯恩</a> / <a href=""/celebrity/1337934/"" rel=""v:starring"">安伯・明迪桑德</a> / <a href=""/celebrity/1313507/"" rel=""v:starring"">本杰明・沃克</a> / <a href=""/celebrity/1118033/"" rel=""v:starring"">霍特・麦克卡兰尼</a> / <a href=""/celebrity/1345862/"" rel=""v:starring"">马丁・桑斯梅耶</a> / <a href=""/celebrity/1048230/"" rel=""v:starring"">马特・麦考伊</a> / <a href=""/celebrity/1004917/"" rel=""v:starring"">马特・塞林格</a> / <a href=""/celebrity/1078633/"" rel=""v:starring"">查德・布鲁斯</a> / <a href=""/celebrity/1396164/"" rel=""v:starring"">亚当・哈蒂格</a> / <a href=""/celebrity/1174109/"" rel=""v:starring"">布拉德利・索茨基</a> / <a href=""/celebrity/1323867/"" rel=""v:starring"">马歇尔・威廉斯</a> / <a href=""/celebrity/1454973/"" rel=""v:starring"">加布里埃尔・丹尼尔斯</a> / <a href=""/celebrity/1454974/"" rel=""v:starring"">劳伦・科克伦</a> / <a href=""/celebrity/1019224/"" rel=""v:starring"">阿尔・科利</a> / <a href=""/celebrity/1366298/"" rel=""v:starring"">捷克琳・洛温</a> / <a href=""/celebrity/1384992/"" rel=""v:starring"">艾丽西亚・约翰斯顿</a> / <a href=""/celebrity/1388797/"" rel=""v:starring"">艾伦・默克</a> / <a href=""/celebrity/1166599/"" rel=""v:starring"">达西・菲尔</a> / <a href=""/celebrity/1397334/"" rel=""v:starring"">洛丽・帕帕佐普洛斯</a> / <a href=""/subject_search?search_text=Arne%20MacPherson"" rel=""v:starring"">Arne MacPherson</a> / <a href=""/subject_search?search_text=Paul%20Essiembre"" rel=""v:starring"">Paul Essiembre</a></span>",冰路营救 The Ice Road,剧情
 美国：大电影 / America: The Movie,621, 美国,美国：一部电影 America: The Motion Picture,Matt Thompson, tt6733874, 英语,"<span property=""v:runtime"" content=""98"">98分钟</span>",6.9,"<span property=""v:initialReleaseDate"" content=""2021-06-30(美国)"">2021-06-30(美国)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1040838/"">戴夫・卡拉汉姆</a></span>","<span class=""attrs""><a href=""/celebrity/1031224/"" rel=""v:starring"">查宁・塔图姆</a> / <a href=""/celebrity/1035648/"" rel=""v:starring"">西蒙・佩吉</a> / <a href=""/celebrity/1009256/"" rel=""v:starring"">朱迪・格雷尔</a> / <a href=""/celebrity/1204579/"" rel=""v:starring"">鲍比・莫尼汉</a> / <a href=""/celebrity/1441647/"" rel=""v:starring"">安珀・纳什</a> / <a href=""/celebrity/1157871/"" rel=""v:starring"">劳尔・特鲁希洛</a> / <a href=""/celebrity/1040838/"" rel=""v:starring"">戴夫・卡拉汉姆</a> / <a href=""/celebrity/1025187/"" rel=""v:starring"">安迪・萨姆伯格</a> / <a href=""/celebrity/1314947/"" rel=""v:starring"">杰森・曼楚克斯</a> / <a href=""/celebrity/1019039/"" rel=""v:starring"">威尔・福特</a> / <a href=""/celebrity/1164052/"" rel=""v:starring"">Matt Yates</a> / <a href=""/subject_search?search_text=Killer%20Mike"" rel=""v:starring"">Killer Mike</a> / <a href=""/subject_search?search_text=Kevin%20Gillese"" rel=""v:starring"">Kevin Gillese</a> / <a href=""/subject_search?search_text=Z.%20Gillispie"" rel=""v:starring"">Z. Gillispie</a> / <a href=""/subject_search?search_text=Megan%20Leahy"" rel=""v:starring"">Megan Leahy</a> / <a href=""/subject_search?search_text=Mike%20Schatz"" rel=""v:starring"">Mike Schatz</a> / <a href=""/subject_search?search_text=Christian%20Danley"" rel=""v:starring"">Christian Danley</a> / <a href=""/subject_search?search_text=Cris%20Gray"" rel=""v:starring"">Cris Gray</a></span>",美国：一部电影 America: The Motion Picture,喜剧
 恐惧街1：1994 / 恐惧大街1：1994 / Fear Street Part One: 1994 / Fear Street Part 1: 1994,5515, 美国,恐惧街 Fear Street,丽恩・贾尼埃克, tt6566576, 英语,"<span class=""pl"">又名:</span>",5.8,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1028271/"">R・L・斯坦</a> / <a href=""/celebrity/1396400/"">凯尔・基伦</a> / <a href=""/celebrity/1459893/"">菲尔・格拉西亚底</a> / <a href=""/celebrity/1377370/"">丽恩・贾尼埃克</a></span>","<span class=""attrs""><a href=""/celebrity/1360691/"" rel=""v:starring"">基亚娜・马德拉</a> / <a href=""/celebrity/1457008/"" rel=""v:starring"">奥利维亚・韦尔奇</a> / <a href=""/celebrity/1202487/"" rel=""v:starring"">玛雅・霍克</a> / <a href=""/celebrity/1386100/"" rel=""v:starring"">小本杰明・弗洛雷斯</a> / <a href=""/celebrity/1459087/"" rel=""v:starring"">朱莉娅・雷沃尔德</a> / <a href=""/celebrity/1315353/"" rel=""v:starring"">阿什利・祖克曼</a> / <a href=""/celebrity/1000203/"" rel=""v:starring"">乔丹娜・斯皮罗</a> / <a href=""/celebrity/1342392/"" rel=""v:starring"">达里尔・布里特-吉布森</a> / <a href=""/celebrity/1453669/"" rel=""v:starring"">乔迪恩・迪纳塔莱</a> / <a href=""/celebrity/1378568/"" rel=""v:starring"">萨迪・辛克</a> / <a href=""/celebrity/1332148/"" rel=""v:starring"">夏洛林・阿莫亚</a> / <a href=""/celebrity/1426427/"" rel=""v:starring"">大卫・W・汤普森</a> / <a href=""/celebrity/1454728/"" rel=""v:starring"">嘉娜・艾伦</a> / <a href=""/celebrity/1395178/"" rel=""v:starring"">弗莱德・赫钦格</a> / <a href=""/celebrity/1397595/"" rel=""v:starring"">马特・伯克</a> / <a href=""/celebrity/1392747/"" rel=""v:starring"">马修・祖克</a> / <a href=""/celebrity/1269401/"" rel=""v:starring"">Danyon Huntington</a> / <a href=""/celebrity/1433066/"" rel=""v:starring"">黛安娜・塞勒斯</a> / <a href=""/celebrity/1382745/"" rel=""v:starring"">托德・艾伦・德金</a> / <a href=""/celebrity/1195858/"" rel=""v:starring"">艾米丽・布罗斯特</a> / <a href=""/celebrity/1378740/"" rel=""v:starring"">迈克尔・钱德勒</a> / <a href=""/celebrity/1391093/"" rel=""v:starring"">莱西・坎普</a> / <a href=""/celebrity/1274992/"" rel=""v:starring"">吉莉安・雅各布斯</a> / <a href=""/celebrity/1365205/"" rel=""v:starring"">埃米莉・拉德</a> / <a href=""/subject_search?search_text=Christian%20Bridges"" rel=""v:starring"">Christian Bridges</a> / <a href=""/subject_search?search_text=Noah%20Bain%20Garret"" rel=""v:starring"">Noah Bain Garret</a></span>",恐惧街 Fear Street,悬疑
 幽灵征募 / 幽灵分遣队 / Ghost Draft,32573, 美国,明日之战 The Tomorrow War,克里斯・麦凯, tt9777666, 英语,"<span class=""pl"">又名:</span>",6.5,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1332527/"">扎克・迪恩</a></span>","<span class=""attrs""><a href=""/celebrity/1017967/"" rel=""v:starring"">克里斯・帕拉特</a> / <a href=""/celebrity/1022574/"" rel=""v:starring"">伊冯娜・斯特拉霍夫斯基</a> / <a href=""/celebrity/1147911/"" rel=""v:starring"">J・K・西蒙斯</a> / <a href=""/celebrity/1004934/"" rel=""v:starring"">艾德文・霍德吉</a> / <a href=""/celebrity/1345536/"" rel=""v:starring"">山姆・理查森</a> / <a href=""/celebrity/1349104/"" rel=""v:starring"">贝蒂・吉尔平</a> / <a href=""/celebrity/1389210/"" rel=""v:starring"">贾思敏・马修斯</a> / <a href=""/celebrity/1009274/"" rel=""v:starring"">玛丽・莱恩・莱杰斯库</a> / <a href=""/celebrity/1421167/"" rel=""v:starring"">赖恩・基拉・阿姆斯特朗</a> / <a href=""/celebrity/1344653/"" rel=""v:starring"">凯斯・鲍尔斯</a> / <a href=""/celebrity/1275055/"" rel=""v:starring"">赛切儿・加布埃尔</a> / <a href=""/celebrity/1264136/"" rel=""v:starring"">菲丽莎・特雷尔</a> / <a href=""/celebrity/1429684/"" rel=""v:starring"">梅利莎・圣阿曼德</a> / <a href=""/celebrity/1019215/"" rel=""v:starring"">加里・维克斯</a> / <a href=""/celebrity/1382868/"" rel=""v:starring"">大卫・马尔登那多</a> / <a href=""/celebrity/1385584/"" rel=""v:starring"">马修・康威尔</a> / <a href=""/celebrity/1443024/"" rel=""v:starring"">埃里克・格里斯</a> / <a href=""/celebrity/1402482/"" rel=""v:starring"">罗伯特・廷斯利</a> / <a href=""/celebrity/1440532/"" rel=""v:starring"">安德里娅・安德拉德</a> / <a href=""/celebrity/1115094/"" rel=""v:starring"">帕特里克・马龙</a> / <a href=""/celebrity/1423082/"" rel=""v:starring"">施奎塔・詹姆斯</a> / <a href=""/celebrity/1293854/"" rel=""v:starring"">吉姆・帕尔默</a> / <a href=""/celebrity/1070149/"" rel=""v:starring"">雷德・戴利</a> / <a href=""/celebrity/1454757/"" rel=""v:starring"">亚历克西斯・拉奥特</a> / <a href=""/celebrity/1375137/"" rel=""v:starring"">梅根・劳利斯</a> / <a href=""/celebrity/1429966/"" rel=""v:starring"">克拉克・萨鲁洛</a> / <a href=""/celebrity/1405785/"" rel=""v:starring"">肯尼斯・以色列</a> / <a href=""/celebrity/1395029/"" rel=""v:starring"">小佩里・祖鲁</a> / <a href=""/celebrity/1443043/"" rel=""v:starring"">肖恩・雷卡特尔</a> / <a href=""/celebrity/1103396/"" rel=""v:starring"">Rodney L. James</a> / <a href=""/subject_search?search_text=Chibuikem%20Uche"" rel=""v:starring"">Chibuikem Uche</a> / <a href=""/subject_search?search_text=Mike%20Mitchell"" rel=""v:starring"">Mike Mitchell</a> / <a href=""/subject_search?search_text=Alan%20Trong"" rel=""v:starring"">Alan Trong</a></span>",明日之战 The Tomorrow War,动作
 Pufferfish,4076, 中国大陆,河豚,邢健钧,, 汉语普通话,,5.2,"<span property=""v:runtime"" content=""86"">86分钟</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1349570/"">郑十凝</a></span>","<span class=""attrs""><a href=""/celebrity/1005138/"" rel=""v:starring"">钟欣潼</a> / <a href=""/celebrity/1313958/"" rel=""v:starring"">张睿</a></span>",河豚,剧情
