alias_name,comment_number,country_region,cover,director,imdb,language,length,rate,release_date,release_year,scenarist,starring,title,type
 国定杀戮日：无限狂屠(港) / 人类清除计划完结篇 / 人类清除计划：自由永恒,5363, 美国,人类清除计划5 The Forever Purge,埃弗拉多・瓦莱里奥・古特, tt10327252, 英语,"<span property=""v:runtime"" content=""103"">103分钟</span>",6.1,"<span property=""v:initialReleaseDate"" content=""2021-07-02(美国)"">2021-07-02(美国)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1282226/"">詹姆斯・德莫纳克</a></span>","<span class=""attrs""><a href=""/celebrity/1000082/"" rel=""v:starring"">安娜・德拉・雷古拉</a> / <a href=""/celebrity/1310331/"" rel=""v:starring"">特诺切・韦尔塔</a> / <a href=""/celebrity/1017919/"" rel=""v:starring"">乔什・卢卡斯</a> / <a href=""/celebrity/1044999/"" rel=""v:starring"">卡西迪・弗里曼</a> / <a href=""/celebrity/1188734/"" rel=""v:starring"">莱文・兰宾</a> / <a href=""/celebrity/1228497/"" rel=""v:starring"">亚历杭德罗・埃达</a> / <a href=""/celebrity/1019066/"" rel=""v:starring"">威尔・帕顿</a> / <a href=""/celebrity/1166377/"" rel=""v:starring"">格雷戈里・萨拉戈萨</a> / <a href=""/celebrity/1376816/"" rel=""v:starring"">萨米・罗蒂比</a> / <a href=""/celebrity/1356338/"" rel=""v:starring"">威尔・布里顿</a> / <a href=""/celebrity/1434448/"" rel=""v:starring"">加里・诺希利</a> / <a href=""/celebrity/1256736/"" rel=""v:starring"">Joe Williams</a> / <a href=""/subject_search?search_text=Dan%20Mast"" rel=""v:starring"">Dan Mast</a> / <a href=""/subject_search?search_text=Kacey%20Montoya"" rel=""v:starring"">Kacey Montoya</a> / <a href=""/subject_search?search_text=Joshua%20Dov"" rel=""v:starring"">Joshua Dov</a> / <a href=""/celebrity/1405666/"" rel=""v:starring"">拉桑德拉・吉布森</a> / <a href=""/celebrity/1421820/"" rel=""v:starring"">霍普・劳伦</a> / <a href=""/celebrity/1400722/"" rel=""v:starring"">科达・贝泽尔</a> / <a href=""/celebrity/1439912/"" rel=""v:starring"">肖・琼斯</a> / <a href=""/celebrity/1432734/"" rel=""v:starring"">乔治・杜威</a> / <a href=""/celebrity/1191720/"" rel=""v:starring"">维罗尼卡・法尔孔</a> / <a href=""/celebrity/1428358/"" rel=""v:starring"">马克・克雷尼克</a></span>",人类清除计划5 The Forever Purge,科幻
 恐惧大街2：1978 / 恐惧街2：1978 / Fear Street Part 2: 1978,3904, 美国,恐惧街2 Fear Street 2,丽恩・贾尼埃克, tt9701940, 英语,"<span class=""pl"">又名:</span>",6.5,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1409124/"">扎克・奥尔维奇</a> / <a href=""/celebrity/1377370/"">丽恩・贾尼埃克</a> / <a href=""/celebrity/1459893/"">菲尔・格拉西亚底</a> / <a href=""/celebrity/1028271/"">R・L・斯坦</a></span>","<span class=""attrs""><a href=""/celebrity/1378568/"" rel=""v:starring"">萨迪・辛克</a> / <a href=""/celebrity/1365205/"" rel=""v:starring"">埃米莉・拉德</a> / <a href=""/celebrity/1000306/"" rel=""v:starring"">芮安・辛普金斯</a> / <a href=""/celebrity/1459980/"" rel=""v:starring"">麦凯布・斯莱</a> / <a href=""/celebrity/1393248/"" rel=""v:starring"">泰德・萨瑟兰</a> / <a href=""/celebrity/1000203/"" rel=""v:starring"">乔丹娜・斯皮罗</a> / <a href=""/celebrity/1274992/"" rel=""v:starring"">吉莉安・雅各布斯</a> / <a href=""/celebrity/1360691/"" rel=""v:starring"">基亚娜・马德拉</a> / <a href=""/celebrity/1386100/"" rel=""v:starring"">小本杰明・弗洛雷斯</a> / <a href=""/celebrity/1392747/"" rel=""v:starring"">马修・祖克</a> / <a href=""/celebrity/1315353/"" rel=""v:starring"">阿什利・祖克曼</a> / <a href=""/celebrity/1457008/"" rel=""v:starring"">奥利维亚・韦尔奇</a> / <a href=""/celebrity/1358721/"" rel=""v:starring"">基娅拉・奥利勒拉</a> / <a href=""/celebrity/1453669/"" rel=""v:starring"">乔迪恩・迪纳塔莱</a> / <a href=""/celebrity/1424099/"" rel=""v:starring"">伊登・坎贝尔</a> / <a href=""/celebrity/1399122/"" rel=""v:starring"">迈克・普罗沃斯</a> / <a href=""/celebrity/1356027/"" rel=""v:starring"">布兰登・斯平克</a> / <a href=""/celebrity/1405818/"" rel=""v:starring"">德鲁・谢伊德</a> / <a href=""/celebrity/1195858/"" rel=""v:starring"">艾米丽・布罗斯特</a> / <a href=""/celebrity/1378740/"" rel=""v:starring"">迈克尔・钱德勒</a> / <a href=""/celebrity/1395178/"" rel=""v:starring"">弗莱德・赫钦格</a> / <a href=""/celebrity/1454728/"" rel=""v:starring"">嘉娜・艾伦</a> / <a href=""/celebrity/1382745/"" rel=""v:starring"">托德・艾伦・德金</a> / <a href=""/celebrity/1392765/"" rel=""v:starring"">Chase Ledgerwood</a> / <a href=""/subject_search?search_text=Marcelle%20LeBlanc"" rel=""v:starring"">Marcelle LeBlanc</a> / <a href=""/subject_search?search_text=Jacqi%20Vene"" rel=""v:starring"">Jacqi Vene</a> / <a href=""/subject_search?search_text=Meghan%20Packer"" rel=""v:starring"">Meghan Packer</a></span>",恐惧街2 Fear Street 2,悬疑
 The Black Widow,84297, 美国,黑寡妇 Black Widow,凯特・绍特兰, tt3480822, 英语,"<span property=""v:initialReleaseDate"" content=""2021-07-09(美国/美国网络)"">2021-07-09(美国/美国网络)</span>",6.4,"<span property=""v:initialReleaseDate"" content=""2021(中国大陆)"">2021(中国大陆)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1314894/"">雅克・舍费尔</a> / <a href=""/celebrity/1000957/"">内德・本森</a> / <a href=""/celebrity/1383481/"">埃里克・皮尔森</a> / <a href=""/celebrity/1013888/"">斯坦・李</a> / <a href=""/celebrity/1015145/"">唐・赫克</a> / <a href=""/celebrity/1412639/"">唐・里科</a></span>","<span class=""attrs""><a href=""/celebrity/1054453/"" rel=""v:starring"">斯嘉丽・约翰逊</a> / <a href=""/celebrity/1378921/"" rel=""v:starring"">弗洛伦丝・皮尤</a> / <a href=""/celebrity/1018989/"" rel=""v:starring"">蕾切尔・薇兹</a> / <a href=""/celebrity/1225637/"" rel=""v:starring"">大卫・哈伯</a> / <a href=""/celebrity/1367802/"" rel=""v:starring"">艾尔・安德森</a> / <a href=""/celebrity/1402642/"" rel=""v:starring"">维奥莱特・麦格劳</a> / <a href=""/celebrity/1035654/"" rel=""v:starring"">欧嘉・柯瑞兰寇</a> / <a href=""/celebrity/1338901/"" rel=""v:starring"">O・T・法格本</a> / <a href=""/celebrity/1031849/"" rel=""v:starring"">威廉・赫特</a> / <a href=""/celebrity/1006977/"" rel=""v:starring"">雷・温斯顿</a> / <a href=""/celebrity/1421167/"" rel=""v:starring"">赖恩・基拉・阿姆斯特朗</a> / <a href=""/celebrity/1318105/"" rel=""v:starring"">米歇尔・李</a> / <a href=""/celebrity/1235341/"" rel=""v:starring"">拉娜・布隆代尔</a> / <a href=""/celebrity/1454076/"" rel=""v:starring"">Claudia Heinz</a> / <a href=""/celebrity/1393953/"" rel=""v:starring"">露西・詹・穆雷</a> / <a href=""/celebrity/1442792/"" rel=""v:starring"">乔治亚・柯蒂斯</a> / <a href=""/celebrity/1363756/"" rel=""v:starring"">约恩・巴特勒</a> / <a href=""/celebrity/1374220/"" rel=""v:starring"">库尔特・岳</a> / <a href=""/celebrity/1421821/"" rel=""v:starring"">奥利维尔・里希特斯</a> / <a href=""/celebrity/1195416/"" rel=""v:starring"">安得烈・拜伦</a> / <a href=""/celebrity/1346575/"" rel=""v:starring"">卡利・内勒</a> / <a href=""/celebrity/1174082/"" rel=""v:starring"">罗伯特・普拉尔戈</a> / <a href=""/celebrity/1430644/"" rel=""v:starring"">贾辛特</a> / <a href=""/celebrity/1194092/"" rel=""v:starring"">乔希・亨利</a> / <a href=""/celebrity/1393080/"" rel=""v:starring"">阿里娅・布鲁克斯</a> / <a href=""/celebrity/1369268/"" rel=""v:starring"">泰・赫尔利</a> / <a href=""/celebrity/1397362/"" rel=""v:starring"">马里安・洛伦西克</a> / <a href=""/celebrity/1055305/"" rel=""v:starring"">茱莉亚・路易斯-德瑞弗斯</a> / <a href=""/celebrity/1332709/"" rel=""v:starring"">亚当・普里克特</a> / <a href=""/celebrity/1145184/"" rel=""v:starring"">史蒂芬・萨姆森</a> / <a href=""/celebrity/1432182/"" rel=""v:starring"">乔基姆・斯卡利</a> / <a href=""/celebrity/1459422/"" rel=""v:starring"">利亚尼・塞缪尔</a> / <a href=""/celebrity/1459424/"" rel=""v:starring"">西蒙娜・齐夫科夫斯卡</a> / <a href=""/celebrity/1459423/"" rel=""v:starring"">刘易斯・扬</a></span>",黑寡妇 Black Widow,动作
 Bloody Milkshake,2938, 法国 / 美国 / 德国,火药奶昔 Gunpowder Milkshake,纳沃特・帕普莎多, tt8368408, 英语,"<span property=""v:runtime"" content=""114"">114分钟</span>",5.7,"<span property=""v:initialReleaseDate"" content=""2021-07-14(美国)"">2021-07-14(美国)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1410586/"">纳沃特・帕普莎多</a> / <a href=""/subject_search?search_text=Ehud%20Lavski"">Ehud Lavski</a></span>","<span class=""attrs""><a href=""/celebrity/1036344/"" rel=""v:starring"">凯伦・吉兰</a> / <a href=""/celebrity/1053571/"" rel=""v:starring"">琳娜・海蒂</a> / <a href=""/celebrity/1049495/"" rel=""v:starring"">卡拉・古奇诺</a> / <a href=""/celebrity/1022664/"" rel=""v:starring"">杨紫琼</a> / <a href=""/celebrity/1025214/"" rel=""v:starring"">安吉拉・贝塞特</a> / <a href=""/celebrity/1017893/"" rel=""v:starring"">保罗・吉亚玛提</a> / <a href=""/celebrity/1108378/"" rel=""v:starring"">拉尔夫・伊内森</a> / <a href=""/celebrity/1402757/"" rel=""v:starring"">弗蕾娅・艾伦</a> / <a href=""/celebrity/1369480/"" rel=""v:starring"">克洛伊・科尔曼</a> / <a href=""/celebrity/1414390/"" rel=""v:starring"">罗伯特?马瑟</a> / <a href=""/celebrity/1348296/"" rel=""v:starring"">亚当・那加提斯</a> / <a href=""/celebrity/1342585/"" rel=""v:starring"">塞缪尔・安德森</a> / <a href=""/celebrity/1415385/"" rel=""v:starring"">乔梅杨</a> / <a href=""/celebrity/1425671/"" rel=""v:starring"">杰克・班戴拉</a> / <a href=""/celebrity/1369730/"" rel=""v:starring"">约书亚・格罗斯</a> / <a href=""/celebrity/1337343/"" rel=""v:starring"">艾德・伯奇</a> / <a href=""/celebrity/1333797/"" rel=""v:starring"">大卫・齐梅尔席德</a> / <a href=""/subject_search?search_text=Ivan%20Kaye"" rel=""v:starring"">Ivan Kaye</a> / <a href=""/subject_search?search_text=Joanna%20Bobin"" rel=""v:starring"">Joanna Bobin</a> / <a href=""/celebrity/1428567/"" rel=""v:starring"">安妮塔・欧拉藤吉</a></span>",火药奶昔 Gunpowder Milkshake,动作
 恐惧街3：1666 / 恐惧大街3：1666 / Fear Street Part 3: 1666,3409, 美国,恐惧街3 Fear Street 3,丽恩・贾尼埃克, tt9701942, 英语,"<span class=""pl"">又名:</span>",7.2,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1459893/"">菲尔・格拉西亚底</a> / <a href=""/celebrity/1377370/"">丽恩・贾尼埃克</a> / <a href=""/celebrity/1386754/"">凯特・特雷弗里</a> / <a href=""/celebrity/1028271/"">R・L・斯坦</a></span>","<span class=""attrs""><a href=""/celebrity/1360691/"" rel=""v:starring"">基亚娜・马德拉</a> / <a href=""/celebrity/1315353/"" rel=""v:starring"">阿什利・祖克曼</a> / <a href=""/celebrity/1274992/"" rel=""v:starring"">吉莉安・雅各布斯</a> / <a href=""/celebrity/1457008/"" rel=""v:starring"">奥利维亚・韦尔奇</a> / <a href=""/celebrity/1386100/"" rel=""v:starring"">小本杰明・弗洛雷斯</a> / <a href=""/celebrity/1342392/"" rel=""v:starring"">达里尔・布里特-吉布森</a> / <a href=""/celebrity/1378568/"" rel=""v:starring"">萨迪・辛克</a> / <a href=""/celebrity/1365205/"" rel=""v:starring"">埃米莉・拉德</a> / <a href=""/celebrity/1459980/"" rel=""v:starring"">麦凯布・斯莱</a> / <a href=""/celebrity/1459087/"" rel=""v:starring"">朱莉娅・雷沃尔德</a> / <a href=""/celebrity/1395178/"" rel=""v:starring"">弗莱德・赫钦格</a> / <a href=""/celebrity/1000203/"" rel=""v:starring"">乔丹娜・斯皮罗</a> / <a href=""/celebrity/1453669/"" rel=""v:starring"">乔迪恩・迪纳塔莱</a> / <a href=""/celebrity/1392747/"" rel=""v:starring"">马修・祖克</a> / <a href=""/celebrity/1459979/"" rel=""v:starring"">伊丽莎白・斯科佩尔</a> / <a href=""/celebrity/1360135/"" rel=""v:starring"">兰德尔・P・海文斯</a> / <a href=""/celebrity/1378740/"" rel=""v:starring"">迈克尔・钱德勒</a> / <a href=""/celebrity/1391093/"" rel=""v:starring"">莱西・坎普</a> / <a href=""/celebrity/1397590/"" rel=""v:starring"">林恩・阿什</a> / <a href=""/celebrity/1332148/"" rel=""v:starring"">夏洛林・阿莫亚</a> / <a href=""/celebrity/1454730/"" rel=""v:starring"">马克・阿什沃斯</a> / <a href=""/celebrity/1382745/"" rel=""v:starring"">托德・艾伦・德金</a> / <a href=""/celebrity/1000306/"" rel=""v:starring"">芮安・辛普金斯</a> / <a href=""/celebrity/1195858/"" rel=""v:starring"">艾米丽・布罗斯特</a> / <a href=""/celebrity/1393248/"" rel=""v:starring"">泰德・萨瑟兰</a> / <a href=""/celebrity/1454728/"" rel=""v:starring"">嘉娜・艾伦</a></span>",恐惧街3 Fear Street 3,悬疑
 宝贝老板2：家族企业 / 宝贝老板：家大业大(台) / 波士BB 2世祖(港),3667, 美国,宝贝老板2 The Boss Baby: Family Business,汤姆・麦格拉思, tt6932874, 英语,"<span class=""pl"">又名:</span>",6.6,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1371491/"">玛拉・弗雷齐</a> / <a href=""/celebrity/1371490/"">迈克尔・麦库勒斯</a></span>","<span class=""attrs""><a href=""/celebrity/1000011/"" rel=""v:starring"">亚历克・鲍德温</a> / <a href=""/celebrity/1048023/"" rel=""v:starring"">詹姆斯・麦斯登</a> / <a href=""/celebrity/1000167/"" rel=""v:starring"">艾米・塞德丽丝</a> / <a href=""/celebrity/1389345/"" rel=""v:starring"">阿丽亚娜・格林布拉特</a> / <a href=""/celebrity/1025109/"" rel=""v:starring"">杰夫・高布伦</a> / <a href=""/celebrity/1047990/"" rel=""v:starring"">伊娃・朗格利亚</a> / <a href=""/celebrity/1371493/"" rel=""v:starring"">詹姆斯・麦格拉思</a> / <a href=""/celebrity/1040719/"" rel=""v:starring"">吉米・坎摩尔</a> / <a href=""/celebrity/1040992/"" rel=""v:starring"">丽莎・库卓</a> / <a href=""/celebrity/1372975/"" rel=""v:starring"">拉斐尔・亚历杭德罗</a> / <a href=""/celebrity/1459199/"" rel=""v:starring"">塞雷妮蒂・瑞恩・布朗</a> / <a href=""/celebrity/1329734/"" rel=""v:starring"">大卫・索伦</a> / <a href=""/celebrity/1365918/"" rel=""v:starring"">詹姆斯・雷恩</a> / <a href=""/celebrity/1408787/"" rel=""v:starring"">戴维・P・史密斯</a> / <a href=""/celebrity/1291597/"" rel=""v:starring"">汤姆・麦格拉思</a> / <a href=""/celebrity/1371495/"" rel=""v:starring"">沃尔特・道恩</a> / <a href=""/celebrity/1348571/"" rel=""v:starring"">阿普里尔・劳伦斯</a> / <a href=""/celebrity/1371492/"" rel=""v:starring"">迈尔斯・克里斯托弗・巴克什</a> / <a href=""/celebrity/1374900/"" rel=""v:starring"">琳娜・泽格</a></span>",宝贝老板2 The Boss Baby: Family Business,喜剧
 猪杀令(台) / 寻猪之旅 / 疾速猪杀,6304, 英国,猪 Pig,迈克尔・萨诺斯基, tt11003218, 英语,"<span class=""pl"">又名:</span>",6.0,"<span class=""pl"">片长:</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1459751/"">Vanessa Block</a> / <a href=""/celebrity/1454899/"">迈克尔・萨诺斯基</a></span>","<span class=""attrs""><a href=""/celebrity/1054455/"" rel=""v:starring"">尼古拉斯・凯奇</a> / <a href=""/celebrity/1220062/"" rel=""v:starring"">亚历克斯・沃尔夫</a> / <a href=""/subject_search?search_text=Cassandra%20Violet"" rel=""v:starring"">Cassandra Violet</a> / <a href=""/subject_search?search_text=Julia%20Bray"" rel=""v:starring"">Julia Bray</a> / <a href=""/celebrity/1459694/"" rel=""v:starring"">以利亚・昂格瓦里</a> / <a href=""/subject_search?search_text=Beth%20Harper"" rel=""v:starring"">Beth Harper</a> / <a href=""/subject_search?search_text=Brian%20Sutherland"" rel=""v:starring"">Brian Sutherland</a> / <a href=""/celebrity/1297352/"" rel=""v:starring"">大卫・肖内西</a> / <a href=""/celebrity/1079045/"" rel=""v:starring"">格蕾琴・科比特</a> / <a href=""/celebrity/1230509/"" rel=""v:starring"">Sean G. Tarjoto</a> / <a href=""/celebrity/1459696/"" rel=""v:starring"">达里乌斯・皮尔斯</a> / <a href=""/subject_search?search_text=Kevin%20Michael%20Moore"" rel=""v:starring"">Kevin Michael Moore</a> / <a href=""/subject_search?search_text=Tom%20Walton"" rel=""v:starring"">Tom Walton</a> / <a href=""/subject_search?search_text=Davis%20King"" rel=""v:starring"">Davis King</a> / <a href=""/subject_search?search_text=Nina%20Belforte"" rel=""v:starring"">Nina Belforte</a> / <a href=""/celebrity/1107064/"" rel=""v:starring"">戴维・奈尔</a> / <a href=""/celebrity/1025240/"" rel=""v:starring"">亚当・阿金</a> / <a href=""/celebrity/1391956/"" rel=""v:starring"">达娜・米利肯</a> / <a href=""/celebrity/1010922/"" rel=""v:starring"">达莱娜・扬</a> / <a href=""/celebrity/1231717/"" rel=""v:starring"">比尔・萨菲尔德</a> / <a href=""/celebrity/1456473/"" rel=""v:starring"">丹尼尔・瓦西奇</a></span>",猪 Pig,剧情
 王国：阿信传 / 尸战朝鲜：雅信传(港/台) / 李尸朝鲜:外传 / 尸战朝鲜：前传 / 尸战朝鲜：阿信传 / 王国：前传 / 王国外传 / 王国外传：阿信篇 / 北方的阿信 / Kingdom: Ashin of the North / Kingdom: Ashin-jeon,21934, 韩国,王国：北方的阿信 ??：???,金成勋, tt13412252, 韩语,"<span property=""v:runtime"" content=""94"">94分钟</span>",7.1,"<span property=""v:initialReleaseDate"" content=""2021-07-23(韩国)"">2021-07-23(韩国)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1320116/"">金银姬</a></span>","<span class=""attrs""><a href=""/celebrity/1035649/"" rel=""v:starring"">全智贤</a> / <a href=""/celebrity/1320142/"" rel=""v:starring"">朴秉恩</a> / <a href=""/celebrity/1400241/"" rel=""v:starring"">金诗雅</a> / <a href=""/celebrity/1213426/"" rel=""v:starring"">金雷夏</a> / <a href=""/celebrity/1363439/"" rel=""v:starring"">具乔焕</a> / <a href=""/celebrity/1041047/"" rel=""v:starring"">朱智勋</a></span>",王国：北方的阿信 ??：???,剧情
 血红天空 / 血色天空 / Blood Air,3430, 德国 / 美国,血色天劫 Blood Red Sky,彼得・图万斯, tt6402468, 德语 / 英语,"<span property=""v:runtime"" content=""121"">121分钟</span>",6.4,"<span property=""v:initialReleaseDate"" content=""2021-07-24(德国)"">2021-07-24(德国)</span>",(2021),"<span class=""attrs""><a href=""/celebrity/1019364/"">彼得・图万斯</a> / <a href=""/celebrity/1030400/"">Stefan Holtz</a></span>","<span class=""attrs""><a href=""/celebrity/1374094/"" rel=""v:starring"">佩莉・鲍麦斯特</a> / <a href=""/celebrity/1460001/"" rel=""v:starring"">卡尔・安东・科赫</a> / <a href=""/celebrity/1146578/"" rel=""v:starring"">亚历山大・谢尔</a> / <a href=""/celebrity/1414764/"" rel=""v:starring"">凯斯・塞蒂</a> / <a href=""/celebrity/1331763/"" rel=""v:starring"">戈登・布朗</a> / <a href=""/celebrity/1004605/"" rel=""v:starring"">多米尼克・珀塞尔</a> / <a href=""/celebrity/1323191/"" rel=""v:starring"">格拉汉姆・麦克泰维什</a> / <a href=""/celebrity/1063816/"" rel=""v:starring"">凯・伊沃・保利兹</a> / <a href=""/celebrity/1334238/"" rel=""v:starring"">罗兰・默勒</a> / <a href=""/celebrity/1430218/"" rel=""v:starring"">奇迪・阿朱福</a> / <a href=""/celebrity/1304662/"" rel=""v:starring"">Jan Loukota</a> / <a href=""/subject_search?search_text=Nader%20Ben-Abdallah"" rel=""v:starring"">Nader Ben-Abdallah</a> / <a href=""/celebrity/1258805/"" rel=""v:starring"">Leonie Brill</a> / <a href=""/subject_search?search_text=Rutger%20Lysen"" rel=""v:starring"">Rutger Lysen</a> / <a href=""/subject_search?search_text=Rainer%20Reiners"" rel=""v:starring"">Rainer Reiners</a> / <a href=""/celebrity/1260940/"" rel=""v:starring"">戴维胡滕</a> / <a href=""/celebrity/1061136/"" rel=""v:starring"">Adriana Altaras</a> / <a href=""/celebrity/1069173/"" rel=""v:starring"">J?rg Bundschuh</a> / <a href=""/celebrity/1202858/"" rel=""v:starring"">Ralph Gassmann</a> / <a href=""/celebrity/1345207/"" rel=""v:starring"">吉姆・海伊</a> / <a href=""/celebrity/1125625/"" rel=""v:starring"">沃尔夫冈・迈克尔</a> / <a href=""/celebrity/1358431/"" rel=""v:starring"">丹尼斯・莱昂斯</a></span>",血色天劫 Blood Red Sky,动作
